Test Number,Event Type,Experiment Time Seconds,Temperature F,Linear Initial Prediction Seconds,Simple Initial Prediction Seconds,Newton Initial Prediction Seconds,Quadratic Initial Prediction Seconds,Linear Corrected Prediction Seconds,Simple Corrected Prediction Seconds,Newton Corrected Prediction Seconds,Quadratic Corrected Prediction Seconds,Actual Time Seconds
1,TEST_START,0,,,,,,,,,,
1,SAMPLE,0.5,0.0,,,,,,,,,
1,SAMPLE,1.03,82.74,,,,,,,,,
1,SAMPLE,1.5,82.74,,,,,,,,,
1,SAMPLE,2.03,84.2,,,,,,,,,
1,SAMPLE,2.5,84.2,,,,,,,,,
1,SAMPLE,3.03,84.31,,,,,,,,,
1,SAMPLE,3.5,84.31,,,,,,,,,
1,SAMPLE,4.03,84.65,,,,,,,,,
1,SAMPLE,4.5,84.65,,,,,,,,,
1,SAMPLE,5.03,84.76,,,,,,,,,
1,SAMPLE,5.5,84.76,,,,,,,,,
1,SAMPLE,6.03,84.99,,,,,,,,,
1,SAMPLE,6.5,84.99,,,,,,,,,
1,SAMPLE,7.03,85.1,,,,,,,,,
1,SAMPLE,7.5,85.1,,,,,,,,,
1,SAMPLE,8.03,85.32,,,,,,,,,
1,SAMPLE,8.5,85.32,,,,,,,,,
1,SAMPLE,9.03,85.55,,,,,,,,,
1,SAMPLE,9.5,85.55,,,,,,,,,
1,SAMPLE,10.03,85.78,,,,,,,,,
1,SAMPLE,10.5,85.78,,,,,,,,,
1,SAMPLE,11.03,86.0,,,,,,,,,
1,SAMPLE,11.5,86.0,,,,,,,,,
1,SAMPLE,12.03,86.11,,,,,,,,,
1,SAMPLE,12.5,86.11,,,,,,,,,
1,SAMPLE,13.03,86.34,,,,,,,,,
1,SAMPLE,13.5,86.34,,,,,,,,,
1,SAMPLE,14.03,86.56,,,,,,,,,
1,SAMPLE,14.5,86.56,,,,,,,,,
1,SAMPLE,15.03,86.79,,,,,,,,,
1,INITIAL_MODELS,15.04,,2.36,1.37,41.64,-1.00,,,,,
1,CORRECTION_UPDATE,15.07,,,,,,-55.60,-56.59,0.00,-58.96,
1,CORRECTION_UPDATE,25.05,,,,,,-43.19,-44.18,0.00,-46.55,
1,CORRECTION_UPDATE,35.05,,,,,,-33.42,-34.41,5.85,-36.78,
1,CORRECTION_UPDATE,45.05,,,,,,-26.02,-27.01,13.25,-29.39,
1,CORRECTION_UPDATE,55.05,,,,,,-20.38,-21.37,18.89,-23.75,
1,CORRECTION_UPDATE,65.05,,,,,,-16.10,-17.09,23.17,-19.46,
1,CORRECTION_UPDATE,75.05,,,,,,-12.97,-13.96,26.30,-16.33,
1,COMPLETE,79.03,,,,,,,,,,79
2,TEST_START,0,,,,,,,,,,
2,SAMPLE,0.05,95.11,,,,,,,,,
2,SAMPLE,0.51,95.11,,,,,,,,,
2,SAMPLE,1.04,95.34,,,,,,,,,
2,SAMPLE,1.51,95.34,,,,,,,,,
2,SAMPLE,2.04,95.34,,,,,,,,,
2,SAMPLE,2.51,95.34,,,,,,,,,
2,SAMPLE,3.04,95.45,,,,,,,,,
2,SAMPLE,3.51,95.45,,,,,,,,,
2,SAMPLE,4.04,95.45,,,,,,,,,
2,SAMPLE,4.51,95.45,,,,,,,,,
2,SAMPLE,5.05,95.45,,,,,,,,,
2,SAMPLE,5.51,95.45,,,,,,,,,
2,SAMPLE,6.04,95.45,,,,,,,,,
2,SAMPLE,6.51,95.45,,,,,,,,,
2,SAMPLE,7.04,95.45,,,,,,,,,
2,SAMPLE,7.51,95.45,,,,,,,,,
2,SAMPLE,8.04,95.34,,,,,,,,,
2,SAMPLE,8.51,95.34,,,,,,,,,
2,SAMPLE,9.04,95.34,,,,,,,,,
2,SAMPLE,9.51,95.34,,,,,,,,,
2,SAMPLE,10.04,95.22,,,,,,,,,
2,SAMPLE,10.51,95.22,,,,,,,,,
2,SAMPLE,11.04,95.11,,,,,,,,,
